68.22,87.00,91.00,85.01
82.89,80.00,97.30,88.78
68.44,80.00,90.10,82.65
64.22,84.00,95.50,84.68
47.78,80.00,49.60,63.30
75.33,80.00,92.80,85.31
56.67,80.00,66.70,71.51
83.33,84.00,96.40,89.77
58.22,82.00,83.80,78.49
73.11,82.00,73.90,78.74
91.00,82.00,90.10,88.89
58.00,83.00,86.50,79.68
82.67,81.00,97.30,89.02
84.67,80.00,89.20,86.39
65.00,84.00,90.10,82.99
71.00,82.00,95.50,85.78
40.22,84.00,37.90,58.52
78.44,82.00,95.50,87.64
64.22,80.00,75.70,76.55
52.00,84.00,73.90,74.07
72.00,80.00,78.40,79.44
74.67,80.00,95.50,86.09
84.00,80.00,97.30,89.06
54.22,82.00,50.50,65.83
24.00,80.00,43.90,55.37
28.60,80.00,43.90,56.52
30.30,80.00,43.05,56.64
55.56,80.00,92.80,80.37
73.33,82.00,95.50,86.36
73.33,82.00,93.70,85.73
56.00,82.00,61.30,70.06
82.22,82.00,91.00,87.01
33.00,80.00,47.80,58.98
63.78,80.00,100.00,84.94
66.67,82.00,93.70,84.06
53.11,82.00,91.90,80.04
63.78,82.00,88.30,81.45
59.56,89.00,71.20,76.51
52.00,84.00,78.40,75.64
82.67,84.00,92.80,88.35
76.00,80.00,90.10,84.54
62.89,80.00,90.10,81.26
72.44,82.00,99.10,87.40
55.00,82.00,88.30,79.26
78.22,80.00,92.80,86.04
69.33,82.00,85.60,81.89
70.00,80.00,86.50,81.78
65.33,80.00,77.50,77.46
86.00,80.00,98.20,89.87
88.00,90.00,100.00,94.00
46.44,80.00,76.60,72.42
74.67,84.00,95.50,87.29
79.11,80.00,94.60,86.89
60.44,84.00,95.50,83.74
69.11,80.00,92.80,83.76
32.22,80.00,73.90,67.92
60.00,80.00,63.10,71.09
93.00,80.00,100.00,92.25
80.00,84.00,91.00,87.05
61.33,84.00,81.10,78.92
56.67,80.00,82.00,76.87
81.11,85.00,95.50,89.20
67.33,82.00,82.90,80.45
73.33,80.00,49.60,69.69
56.89,88.00,92.80,83.10
51.00,82.00,95.50,80.78
60.00,86.00,64.00,73.20
82.67,80.00,100.00,89.67
59.33,82.00,86.50,79.71
80.00,84.00,97.30,89.26
53.33,80.00,77.50,74.46
62.67,80.00,76.60,76.48
69.33,88.00,91.90,85.90
74.22,85.00,92.80,86.54
85.00,86.00,100.00,92.05
80.00,85.00,100.00,90.50
79.33,80.00,69.40,78.12
58.22,80.00,94.60,81.67
58.67,82.00,84.70,78.91
81.11,83.00,100.00,90.18
58.00,84.00,63.10,71.79
76.00,84.00,77.50,81.33
